# File,Untitled,Sketch,Sketch1
# Arcs,"50.240,-9.932,51.212,1.661356,1.285060,2.500,0,45.834:38.580;41.956:38.071;38.132:37.251;34.385:36.128;30.741:34.707;27.223:32.999;23.852:31.014;20.652:28.765;17.643:26.266;14.844:23.535;12.273:20.587;9.947:17.442;7.881:14.121;6.087:10.645;4.579:7.037;3.365:3.319;2.453:-0.485"
# View,-1.000000,-0.000000,0.000000,-1.000000,1.0,-1.0
Arc,Circle,X (mm),Z (mm)
1,1,2.4525,0.4848
1,2,3.3645,-3.3187
1,3,4.5787,-7.0367
1,4,6.0873,-10.6454
1,5,7.8806,-14.1214
1,6,9.9470,-17.4424
1,7,12.2731,-20.5868
1,8,14.8440,-23.5345
1,9,17.6431,-26.2664
1,10,20.6524,-28.7650
1,11,23.8525,-31.0140
1,12,27.2226,-32.9991
1,13,30.7412,-34.7073
1,14,34.3855,-36.1278
1,15,38.1319,-37.2513
1,16,41.9565,-38.0706
1,17,45.8344,-38.5805
